configuration,window_s,cell,component,point,low,high,se
site_day,10_10000,alt3_open_beginners,altitude_equipment,-0.0006166223314175712,-0.0019250863003248745,0.0007941539502547265,0.0008388506288327118
site_day,10_10000,alt3_open_beginners,circuit_equipment,5.61638926692698e-05,-0.0010929158452149812,0.0013037625234135644,0.0007563821976512537
site_day,10_10000,alt3_open_beginners,three_way,0.002782159110356952,0.0013893243846336443,0.0041262148478336536,0.0008237105028500784
site_day,10_10000,alt3_open_experts,altitude,0.00023966162537802926,-0.0010347002212766135,0.0017796053503146942,0.0008881079122791592
site_day,10_10000,alt3_open_experts,circuit,0.041173627113205824,0.039911663357836046,0.0426333689998307,0.0008308244276221946
site_day,10_10000,alt3_open_experts,equipment,0.007723140782947335,0.006439852258131667,0.009005211709222471,0.0007770195649540694
site_day,10_10000,alt3_open_experts,altitude_circuit,-0.029369366508945838,-0.0309371336419115,-0.028044194884235048,0.0008843397497974862
site_day,10_10000,alt3_open_experts,altitude_equipment,0.0006166223314173491,-0.0007941539502545174,0.0019250863003249835,0.0008388506288327176
site_day,10_10000,alt3_open_experts,circuit_equipment,-5.61638926692698e-05,-0.0013037625234136709,0.0010929158452152865,0.0007563821976512642
site_day,10_10000,alt3_open_experts,three_way,-0.002782159110356841,-0.004126214847833759,-0.0013893243846336508,0.0008237105028500929
site_day,10_10000,alt3_closed_beginners,altitude,0.00023966162537802926,-0.0010347002212766135,0.0017796053503146942,0.0008881079122791592
site_day,10_10000,alt3_closed_beginners,circuit,-0.04117362711320571,-0.0426333689998307,-0.03991166335783605,0.0008308244276221947
site_day,10_10000,alt3_closed_beginners,equipment,-0.007723140782947224,-0.009005211709222366,-0.006439852258131562,0.0007770195649540609
site_day,10_10000,alt3_closed_beginners,altitude_circuit,0.029369366508945727,0.028044194884234836,0.0309371336419114,0.0008843397497974891
site_day,10_10000,alt3_closed_beginners,altitude_equipment,-0.0006166223314175712,-0.0019250863003248745,0.0007941539502547265,0.0008388506288327118
site_day,10_10000,alt3_closed_beginners,circuit_equipment,-5.6163892669602866e-05,-0.0013037625234136709,0.001092915845215392,0.0007563821976512635
site_day,10_10000,alt3_closed_beginners,three_way,-0.002782159110356508,-0.004126214847833753,-0.0013893243846336452,0.0008237105028500894
site_day,10_10000,alt3_closed_experts,altitude,0.00023966162537802926,-0.0010347002212766135,0.0017796053503146942,0.0008881079122791592
site_day,10_10000,alt3_closed_experts,circuit,-0.04117362711320571,-0.0426333689998307,-0.03991166335783605,0.0008308244276221947
site_day,10_10000,alt3_closed_experts,equipment,0.007723140782947335,0.006439852258131667,0.009005211709222471,0.0007770195649540694
site_day,10_10000,alt3_closed_experts,altitude_circuit,0.029369366508945727,0.028044194884234836,0.0309371336419114,0.0008843397497974891
site_day,10_10000,alt3_closed_experts,altitude_equipment,0.0006166223314173491,-0.0007941539502545174,0.0019250863003249835,0.0008388506288327176
site_day,10_10000,alt3_closed_experts,circuit_equipment,5.6163892669491844e-05,-0.00109291584521507,0.00130376252341347,0.0007563821976512609
site_day,10_10000,alt3_closed_experts,three_way,0.002782159110356619,0.0013893243846337332,0.004126214847834081,0.0008237105028500848
site_day,10_100,alt0_open_beginners,altitude,-0.006108120071014689,-0.008417719920534573,-0.00387013676751391,0.0013795235235354328
site_day,10_100,alt0_open_beginners,circuit,0.005901530327626636,0.005049082207753908,0.006743070643472027,0.0005029558939590374
