configuration,seed,contrast,point,low,high,se,se_ratio,contains_zero,site_day_contains_zero
grid50km_altitude_month_all_years,20260921,alt0_alt1,0.021058841609085555,0.014491701103688425,0.027082209806230214,0.0038285312674223404,2.8836951037539427,False,False
grid50km_altitude_month_all_years,20260921,equipment_interaction_0_1,0.0005892996605816325,-0.005560958596879795,0.006702475576484633,0.003806812089882283,1.5360492400275125,True,True
grid50km_altitude_month_all_years,20260921,alt0_alt2,0.08354400755795022,0.07861474331606443,0.0880283812663467,0.0028285483225549764,2.7081817490579003,False,False
grid50km_altitude_month_all_years,20260921,equipment_interaction_0_2,-0.007539751394009531,-0.011046158781815535,-0.003468908116404935,0.0022994235693970157,1.3533730342602355,False,False
grid50km_altitude_month_all_years,20260921,alt0_alt3,0.07448195415740744,0.06955977461204227,0.0792286690074066,0.0029922477356293447,2.970202092266549,False,False
grid50km_altitude_month_all_years,20260921,equipment_interaction_0_3,-0.00262878599888694,-0.006585694773246342,0.0013769033313888398,0.0024173929033971097,1.4941972294216046,True,True
grid50km_altitude_month_all_years,20260921,equipment_alt1,0.012527346585153976,0.00719154473581819,0.01777585184268292,0.00333138007939032,1.5577729803570715,False,False
grid50km_altitude_month_all_years,20260921,alt1_alt2,0.06248516594886466,0.05578579695437663,0.06901072350581008,0.004028391984411144,2.8897532582600176,False,False
grid50km_altitude_month_all_years,20260921,equipment_interaction_1_2,-0.008129051054591163,-0.013892483086768076,-0.002106020449572222,0.003603480446605526,1.525022304648927,False,False
grid50km_altitude_month_all_years,20260921,alt1_alt3,0.05342311254832188,0.04710740326265867,0.06018824799493357,0.004091579141011807,2.992920090160027,False,False
grid50km_altitude_month_all_years,20260921,equipment_interaction_1_3,-0.0032180856594685725,-0.009443520098942532,0.00318976650841705,0.003754331733243469,1.6056885729757764,True,True
grid50km_altitude_month_all_years,20260921,equipment_alt2,0.02065639763974514,0.01779884503539676,0.02277753385571426,0.001562924009773369,1.6097314832322187,False,False
grid50km_altitude_month_all_years,20260921,alt2_alt3,-0.00906205340054278,-0.0139571949960195,-0.004059540012071912,0.0030674082605388116,3.6552768089370438,False,False
grid50km_altitude_month_all_years,20260921,equipment_interaction_2_3,0.004910965395122591,0.0010235430061845963,0.0085782408271578,0.002316412350663703,1.801531917848804,False,False
grid50km_altitude_month_all_years,20260921,equipment_alt3,0.015745432244622548,0.012525051985885698,0.01837959209093466,0.001749249007327941,2.0983498615364318,False,False
grid50km_altitude_month_all_years,20260921,mountain_regions,0.0369648702907992,0.02786703442463659,0.04596933576821603,0.005454113831444659,2.2633642659629905,False,False
grid50km_altitude_month_all_years,20260921,lowland_regions,-0.0020132836586727043,-0.008005262506433075,0.004315356313878463,0.0038154640295501147,2.2804660207334813,True,True
grid50km_altitude_month_all_years,20260921,circuit_altitude_open_minus_closed_0,0.12833368565036885,0.11600306259113002,0.14206210957219068,0.007939989279218492,1.4637329925255504,False,False
grid50km_altitude_month_all_years,20260921,circuit_altitude_open_minus_closed_1,0.12880226891223123,0.12198809074150796,0.13587619119831587,0.004205928342170467,1.8970088861802417,False,False
grid50km_altitude_month_all_years,20260921,circuit_altitude_open_minus_closed_2,0.04769380668054535,0.041387458925649524,0.05606391078955411,0.004553712077910332,4.185569914077424,False,False
grid50km_altitude_month_all_years,20260921,circuit_altitude_open_minus_closed_3,0.022741488193559367,0.01847064711612839,0.02779993819388729,0.0028060827824978878,2.99065599148659,False,False
grid50km_altitude_month_all_years,20260921,circuit_altitude_open_0_minus_2,0.05997638759911361,0.05473535224242079,0.06447233569317577,0.003036308832357838,2.8581772885447134,False,False
grid50km_altitude_month_all_years,20260921,circuit_altitude_open_0_minus_3,0.06428534158053845,0.05926074215896292,0.06890937435251485,0.0029741269859005254,2.815216487760326,False,False
grid50km_altitude_month_all_years,20260921,circuit_altitude_open_1_minus_2,0.050845940744160156,0.04501193162381857,0.05589274112165233,0.003330279933022781,2.7951238358776833,False,False
grid50km_altitude_month_all_years,20260921,circuit_altitude_open_1_minus_3,0.05515489472558499,0.04961875694829774,0.06058455044680637,0.0032839998481804895,2.737613793775832,False,False
grid50km_altitude_month_all_years,20260921,circuit_altitude_closed_0_minus_2,-0.020663491370709886,-0.034630969777537886,-0.006359125614604695,0.008585711086871796,1.5950488821324207,False,False
grid50km_altitude_month_all_years,20260921,circuit_altitude_closed_0_minus_3,-0.04130685587627103,-0.055319885720232845,-0.028144632494608534,0.008322004173514499,1.5441296370084099,False,False
grid50km_altitude_month_all_years,20260921,circuit_altitude_closed_1_minus_2,-0.03026252148752573,-0.0379927763092775,-0.020948967185290414,0.00519123663774389,2.470557977836844,False,False
