discipline,statistic,variant,days,rho,occupied_day_pairs,bartlett_variance_factor
para,msd_10000,month_centred,17,-0.0049635044610155,2115,1.555474390060455
para,msd_10000,month_centred,18,-0.0028190445844793804,2132,1.5703573715723391
para,msd_10000,month_centred,19,-0.017499979270766998,2139,1.583376981916185
para,msd_10000,month_centred,20,0.002667979926014126,2121,1.5933446332985688
para,msd_10000,month_centred,21,0.012768527269429888,2114,1.6026170778755848
para,msd_10000,month_centred,22,-0.011522329976928532,2144,1.6122073481519112
para,msd_10000,month_centred,23,0.018303826545607263,2077,1.6199617401453457
para,msd_10000,month_centred,24,0.005037424039805047,2108,1.6285952516847946
para,msd_10000,month_centred,25,0.007067435656249532,2079,1.6369410762242718
para,msd_10000,month_centred,26,0.014467625986319406,2083,1.645188563157347
para,msd_10000,month_centred,27,0.025046639148491177,2071,1.6538968011314035
para,msd_10000,month_centred,28,0.030279593906881088,2104,1.6637720677607764
para,msd_10000,month_centred,29,0.025585416125379616,2078,1.6750545293748051
para,msd_10000,month_centred,30,0.010805563210613706,2066,1.6872905212895906
para,msd_10000,month_centred,31,-0.0135556680038246,2065,1.6994342274815262
para,msd_10000,month_centred,32,-0.034757547268931,2082,1.7099717227862268
para,msd_10000,month_centred,33,-0.009130808576302527,2052,1.717764063995556
para,msd_10000,month_centred,34,-0.009718207614767526,2045,1.7245609258057302
para,msd_10000,month_centred,35,-0.03195825216302079,2056,1.7304140693630505
para,msd_10000,month_centred,36,-0.008986984047274183,2041,1.7341665798247967
para,msd_10000,month_centred,37,-0.004186903338257172,2030,1.7372304689617306
para,msd_10000,month_centred,38,-0.0045122364604141115,2022,1.7399127374420762
para,msd_10000,month_centred,39,-0.001557511608848097,2024,1.7422260569510999
para,msd_10000,month_centred,40,-0.008225141612202646,2066,1.7443458349042305
para,msd_10000,month_centred,41,-0.004006346330545909,2054,1.7459609826346612
para,msd_10000,month_centred,42,-0.0027897571293922343,2029,1.747308440171713
para,msd_10000,month_centred,43,-0.006850412830521478,2045,1.7484634691196277
para,msd_10000,month_centred,44,0.01875561646535588,2025,1.74925461435034
para,msd_10000,month_centred,45,0.0069820055910146455,2004,1.7508441805248152
para,msd_10000,month_centred,46,0.012353585551361066,1974,1.7526682005869654
para,msd_10000,month_centred,47,0.031777045049750006,1990,1.7549402872656783
para,msd_10000,month_centred,48,-0.004091865878124972,1991,1.7584417472098504
para,msd_10000,month_centred,49,0.011835473670124292,1983,1.7616332754878066
para,msd_10000,month_centred,50,0.007879819139580147,1982,1.76517056158145
para,msd_10000,month_centred,51,0.005739592913333981,1967,1.768878143088659
para,msd_10000,month_centred,52,0.005937909654417196,1950,1.7726638788807185
para,msd_10000,month_centred,53,0.01869905204183016,1981,1.7765308287807922
para,msd_10000,month_centred,54,-0.0017491148308146137,1985,1.7809471157972274
para,msd_10000,month_centred,55,0.005112390621669958,1954,1.785139206382853
para,msd_10000,month_centred,56,0.015148638114289178,1950,1.7893641648269092
para,msd_10000,month_centred,57,0.002908499286417063,1948,1.7939724102769383
para,msd_10000,month_centred,58,-0.0033823905786578737,1924,1.7985220437902907
para,msd_10000,month_centred,59,0.024548665077909614,1933,1.8028027951310333
para,msd_10000,month_centred,60,0.02164192020453034,1934,1.8077591435963476
para,msd_10000,month_centred,61,-0.010513534308899536,1945,1.8132625599875383
para,msd_10000,month_centred,62,0.023336578021890028,1929,1.8182493005496934
