discipline,altitude_band,control,lag_s,mean_m2,n_flights,n_clusters,pointwise_95_low_m2,pointwise_95_high_m2
paragliders,Hills,available segments,10000.0,6349699429.054475,514,434,5869936625.586704,6834833877.026759
paragliders,Hills,fixed long segments,10.0,12677.288687264409,514,434,12227.930923856853,13130.353635554002
paragliders,Hills,fixed long segments,11.0,15217.67451874848,514,434,14680.208553162201,15781.665786926716
paragliders,Hills,fixed long segments,12.0,17029.751147555933,514,434,16395.543029972967,17691.442960465178
paragliders,Hills,fixed long segments,14.0,23816.69867917072,514,434,22921.208780019537,24747.536036422716
paragliders,Hills,fixed long segments,16.0,29978.73909251885,514,434,28850.567568654067,31134.642028963935
paragliders,Hills,fixed long segments,18.0,38317.57122826483,514,434,36819.20563960906,39865.390607773305
paragliders,Hills,fixed long segments,20.0,45232.16623791646,514,434,43466.26591227686,47046.511590551265
paragliders,Hills,fixed long segments,23.0,59980.27299671693,514,434,57579.84528368783,62431.32972616267
paragliders,Hills,fixed long segments,25.0,66948.57021750364,514,434,64253.59181089744,69724.15585947895
